Provider,TotalClaims,TotalClaimAmount,AvgClaimAmount,MaxClaimAmount,UniquePhysicians,PotentialFraud
PRV51001,25,104640,4185.6,42000,14,0
PRV51003,132,605670,4588.409090909091,57000,44,1
PRV51004,149,52170,350.13422818791946,3300,38,0
PRV51005,1165,280910,241.1244635193133,4080,6,1
PRV51007,72,33710,468.19444444444446,10000,10,0
PRV51008,43,35630,828.6046511627907,21000,10,0
PRV51011,58,16630,286.7241379310345,5000,28,0
PRV51012,48,16890,351.875,3300,14,0
PRV51013,46,14880,323.4782608695652,1800,9,0
PRV51014,30,10480,349.3333333333333,3300,7,0
PRV51015,8,700,87.5,200,3,0
PRV51016,6,170,28.333333333333332,90,3,0
PRV51017,515,142720,277.126213592233,3300,113,0
PRV51021,257,348830,1357.3151750972763,57000,69,1
PRV51023,36,65610,1822.5,13000,14,0
PRV51024,39,64050,1642.3076923076924,13000,13,0
PRV51025,87,118350,1360.344827586207,17000,35,0
PRV51026,76,19840,261.05263157894734,3300,29,0
PRV51027,53,29840,563.0188679245283,3300,10,0
PRV51029,93,30660,329.6774193548387,3300,38,0
PRV51030,171,739760,4326.081871345029,57000,46,0
PRV51031,185,359720,1944.4324324324325,68000,60,0
PRV51032,23,5420,235.65217391304347,2900,10,0
PRV51035,30,32560,1085.3333333333333,29000,18,0
PRV51036,278,74880,269.3525179856115,4400,5,0
PRV51037,454,342230,753.8105726872246,23000,3,1
PRV51038,141,265490,1882.9078014184397,17000,44,0
PRV51040,86,74470,865.9302325581396,21000,15,0
PRV51041,34,7410,217.94117647058823,3200,9,0
PRV51042,142,48050,338.38028169014086,3300,52,0
PRV51043,23,4480,194.7826086956522,1100,6,0
PRV51044,59,21330,361.52542372881356,3300,1,0
PRV51045,31,8390,270.64516129032256,3300,16,0
PRV51046,38,109370,2878.157894736842,38000,6,0
PRV51047,11,2530,230.0,1300,10,0
PRV51048,38,27700,728.9473684210526,7000,15,0
PRV51049,71,21720,305.9154929577465,3300,35,0
PRV51052,46,30800,669.5652173913044,9000,17,1
PRV51053,1,8000,8000.0,8000,1,0
PRV51054,57,15130,265.43859649122805,1900,3,0
PRV51055,22,21640,983.6363636363636,16000,6,0
PRV51056,22,14700,668.1818181818181,5000,5,0
PRV51057,5,6830,1366.0,3300,1,0
PRV51058,83,107030,1289.5180722891566,57000,31,0
PRV51059,96,421060,4386.041666666667,57000,30,1
PRV51060,42,43710,1040.7142857142858,14000,28,0
PRV51061,145,54940,378.8965517241379,6700,6,0
PRV51062,397,153380,386.3476070528967,25000,6,0
PRV51063,149,51110,343.02013422818794,3300,3,0
PRV51064,303,360320,1189.1749174917493,37000,111,1
PRV51065,28,76570,2734.6428571428573,11000,9,0
PRV51066,24,24790,1032.9166666666667,15000,7,0
PRV51067,58,334520,5767.586206896552,83000,21,1
PRV51068,261,143260,548.8888888888889,19000,79,0
PRV51070,99,125410,1266.7676767676767,22000,46,0
PRV51071,24,8550,356.25,3200,11,0
PRV51072,212,119170,562.122641509434,14000,47,0
PRV51074,39,41170,1055.6410256410256,15000,14,0
PRV51075,17,8550,502.94117647058823,3000,4,0
PRV51076,29,10230,352.7586206896552,3300,8,0
PRV51077,33,204350,6192.424242424242,56000,11,1
PRV51078,23,78270,3403.0434782608695,16000,13,0
PRV51081,200,124080,620.4,48000,3,0
PRV51082,34,5470,160.88235294117646,1000,9,0
PRV51083,90,18100,201.11111111111111,3300,18,0
PRV51084,110,215580,1959.8181818181818,45000,32,1
PRV51086,139,446170,3209.856115107914,57000,24,0
PRV51089,228,230900,1012.719298245614,41000,72,0
PRV51090,7,5830,832.8571428571429,3300,3,0
PRV51091,44,9270,210.6818181818182,2100,19,0
PRV51093,9,13710,1523.3333333333333,11000,6,0
PRV51096,5,3200,640.0,2100,3,0
PRV51097,125,44420,355.36,3500,1,0
