Provider,TotalClaims,TotalClaimAmount,AvgClaimAmount,MaxClaimAmount,UniquePhysicians,PotentialFraud,anomaly_score
PRV51001,25,104640,4185.6,42000,14,0,-0.08511104120553398
PRV51003,132,605670,4588.409090909091,57000,44,1,0.00992506281392358
PRV51004,149,52170,350.13422818791946,3300,38,0,-0.11654847353495867
PRV51005,1165,280910,241.1244635193133,4080,6,1,0.04566568160638451
PRV51007,72,33710,468.19444444444446,10000,10,0,-0.15688693831113293
PRV51008,43,35630,828.6046511627907,21000,10,0,-0.13491027365588276
PRV51011,58,16630,286.7241379310345,5000,28,0,-0.14626177435201465
PRV51012,48,16890,351.875,3300,14,0,-0.1756269719401114
PRV51013,46,14880,323.4782608695652,1800,9,0,-0.16575016654442704
PRV51014,30,10480,349.3333333333333,3300,7,0,-0.17652283261872836
PRV51015,8,700,87.5,200,3,0,-0.16921552597257372
PRV51016,6,170,28.33333333333333,90,3,0,-0.16434572962979366
PRV51017,515,142720,277.126213592233,3300,113,0,0.06195527266704204
PRV51021,257,348830,1357.3151750972763,57000,69,1,0.019047371478696395
PRV51023,36,65610,1822.5,13000,14,0,-0.13875593627207444
PRV51024,39,64050,1642.3076923076924,13000,13,0,-0.14054864609459983
PRV51025,87,118350,1360.344827586207,17000,35,0,-0.09077431162227295
PRV51026,76,19840,261.05263157894734,3300,29,0,-0.15143266557932827
PRV51027,53,29840,563.0188679245283,3300,10,0,-0.17217770544313238
PRV51029,93,30660,329.6774193548387,3300,38,0,-0.12983374774933804
PRV51030,171,739760,4326.081871345029,57000,46,0,0.030127430595468074
PRV51031,185,359720,1944.4324324324325,68000,60,0,0.03799553439658565
PRV51032,23,5420,235.65217391304347,2900,10,0,-0.17398063734217395
PRV51035,30,32560,1085.3333333333333,29000,18,0,-0.11638897207668308
PRV51036,278,74880,269.3525179856115,4400,5,0,-0.10287240917636048
PRV51037,454,342230,753.8105726872246,23000,3,1,-0.006769441876947391
PRV51038,141,265490,1882.90780141844,17000,44,0,-0.03866087762818554
PRV51040,86,74470,865.9302325581396,21000,15,0,-0.12281090498476743
PRV51041,34,7410,217.94117647058823,3200,9,0,-0.17512081236961996
PRV51042,142,48050,338.38028169014086,3300,52,0,-0.09703924025776478
PRV51043,23,4480,194.7826086956522,1100,6,0,-0.17520268765929586
PRV51044,59,21330,361.5254237288136,3300,1,0,-0.1728647404116646
PRV51045,31,8390,270.64516129032256,3300,16,0,-0.17142735805017828
PRV51046,38,109370,2878.157894736842,38000,6,0,-0.08601770972716438
PRV51047,11,2530,230.0,1300,10,0,-0.16987922507911074
PRV51048,38,27700,728.9473684210526,7000,15,0,-0.16032401166207827
PRV51049,71,21720,305.9154929577465,3300,35,0,-0.14162787580335368
PRV51052,46,30800,669.5652173913044,9000,17,1,-0.1567314103905728
PRV51053,1,8000,8000.0,8000,1,0,-0.07540420839185563
PRV51054,57,15130,265.43859649122805,1900,3,0,-0.1669059393165352
PRV51055,22,21640,983.6363636363636,16000,6,0,-0.13862412152206915
PRV51056,22,14700,668.1818181818181,5000,5,0,-0.16305514979873525
PRV51057,5,6830,1366.0,3300,1,0,-0.151525650217744
PRV51058,83,107030,1289.5180722891566,57000,31,0,-0.05353922337840622
PRV51059,96,421060,4386.041666666667,57000,30,1,-0.02574011508377083
PRV51060,42,43710,1040.7142857142858,14000,28,0,-0.13003148944960513
PRV51061,145,54940,378.8965517241379,6700,6,0,-0.14312140984647392
PRV51062,397,153380,386.3476070528967,25000,6,0,-0.04567069397617335
PRV51063,149,51110,343.02013422818794,3300,3,0,-0.14920898378628356
PRV51064,303,360320,1189.1749174917493,37000,111,1,0.07149742457585795
PRV51065,28,76570,2734.6428571428573,11000,9,0,-0.12145735559548793
PRV51066,24,24790,1032.9166666666667,15000,7,0,-0.1402468271183882
PRV51067,58,334520,5767.586206896552,83000,21,1,0.06050325961984648
PRV51068,261,143260,548.8888888888889,19000,79,0,-0.010078311025171094
PRV51070,99,125410,1266.767676767677,22000,46,0,-0.07360222052722615
PRV51071,24,8550,356.25,3200,11,0,-0.1753399755205785
PRV51072,212,119170,562.122641509434,14000,47,0,-0.062307403192086774
PRV51074,39,41170,1055.6410256410256,15000,14,0,-0.14577126872125756
PRV51075,17,8550,502.9411764705882,3000,4,0,-0.17559373730545025
PRV51076,29,10230,352.7586206896552,3300,8,0,-0.17722798872342527
PRV51077,33,204350,6192.424242424242,56000,11,1,-0.04253805404839445
PRV51078,23,78270,3403.043478260869,16000,13,0,-0.11972302251079353
PRV51081,200,124080,620.4,48000,3,0,-0.03797701978418283
PRV51082,34,5470,160.88235294117646,1000,9,0,-0.16914148022630648
PRV51083,90,18100,201.11111111111111,3300,18,0,-0.15987871562455674
PRV51084,110,215580,1959.8181818181815,45000,32,1,-0.057736366299840414
PRV51086,139,446170,3209.856115107914,57000,24,0,-0.020222188793053264
PRV51089,228,230900,1012.719298245614,41000,72,0,0.007301886653365064
PRV51090,7,5830,832.8571428571429,3300,3,0,-0.16423821298039187
PRV51091,44,9270,210.6818181818182,2100,19,0,-0.16362976144285524
PRV51093,9,13710,1523.3333333333333,11000,6,0,-0.14191037049234062
PRV51096,5,3200,640.0,2100,3,0,-0.16700413167928968
PRV51097,125,44420,355.36,3500,1,0,-0.1517404581295288
PRV51098,4,300,75.0,200,2,0,-0.16969685525930533
PRV51100,5,78000,15600.0,33000,3,0,0.0005414518590198814
PRV51101,3,16600,5533.333333333333,13000,1,0,-0.10398393388973864
PRV51102,12,148000,12333.333333333334,47000,3,0,-0.014892350914905927
PRV51103,6,440,73.33333333333333,200,2,1,-0.17061162625205167
PRV51104,12,1900,158.33333333333334,700,2,0,-0.17888904877618433
PRV51105,12,6540,545.0,1800,2,0,-0.1740533056829131
PRV51108,19,156000,8210.526315789473,22000,6,0,-0.06520205679482816
PRV51109,3,18000,6000.0,8000,1,0,-0.09753658540436055
PRV51110,5,27000,5400.0,9000,3,0,-0.1039974329571427
PRV51111,132,54860,415.6060606060606,7010,4,0,-0.14231070110947802
PRV51112,304,105250,346.2171052631579,4100,7,0,-0.0906203430148857
PRV51113,132,46390,351.43939393939394,3300,2,0,-0.1520229999568894
PRV51114,262,76720,292.82442748091603,8200,5,0,-0.10415465462276047
PRV51115,7,980,140.0,600,3,0,-0.17400678716690937
PRV51117,12,1950,162.5,1400,4,0,-0.17594073770175356
PRV51118,16,136000,8500.0,22000,4,0,-0.06999473261374378
PRV51119,95,1080580,11374.526315789471,118000,8,1,0.1968277791680092
PRV51120,7,52000,7428.571428571428,15000,1,0,-0.08632560639373804
PRV51121,7,81080,11582.857142857143,45000,3,0,-0.031942146867641186
PRV51122,7,1120,160.0,500,7,0,-0.16824928893132568
PRV51123,31,26910,868.0645161290323,5000,21,0,-0.14979200295212408
PRV51125,48,131310,2735.625,30000,36,0,-0.07776009465208061
PRV51126,20,177000,8850.0,25000,2,1,-0.054370542139579925
PRV51128,50,102220,2044.4,29000,19,0,-0.11140627065278225
PRV51129,96,22920,238.75,2000,54,0,-0.08589718675675584
PRV51130,7,4970,710.0,3100,2,0,-0.17102784306036622
PRV51131,8,1160,145.0,800,4,0,-0.1721546267490987
PRV51132,8,5330,666.25,4000,5,0,-0.16510886088252913
PRV51134,15,7610,507.3333333333333,2900,3,0,-0.1766363995936026
PRV51135,5,300,60.0,90,1,0,-0.16432463991739388
PRV51136,1,20000,20000.0,20000,1,0,0.029213385850963114
PRV51137,55,16050,291.8181818181818,6000,23,0,-0.1520739354196734
PRV51138,26,13430,516.5384615384615,6000,7,0,-0.16715401805178653
PRV51139,43,52580,1222.7906976744189,14000,34,0,-0.11530330443960163
PRV51140,487,453130,930.4517453798768,16000,5,0,0.0055158017863049524
PRV51141,71,19490,274.50704225352115,1900,8,0,-0.1632347911417425
PRV51142,51,104570,2050.392156862745,57000,15,0,-0.05976027787928395
PRV51143,77,20450,265.5844155844156,3300,26,0,-0.15414285845472842
PRV51144,30,61220,2040.6666666666667,33000,14,0,-0.10721716663481451
PRV51145,202,1606350,7952.227722772277,46000,37,1,0.15348629465830943
PRV51146,352,1680910,4775.3125,57000,77,1,0.1609375587624743
PRV51147,32,8860,276.875,3300,23,0,-0.16079223990635794
PRV51148,330,488660,1480.7878787878788,37000,60,1,0.03678335105471786
PRV51149,148,1120680,7572.162162162162,57000,25,1,0.08912436125590906
PRV51151,233,201300,863.9484978540772,16000,97,0,0.03016930797822337
