Provider,TotalClaims,TotalClaimAmount,AvgClaimAmount,MaxClaimAmount,UniquePhysicians,PotentialFraud,anomaly_score,behavior_risk
PRV51001,25,104640,4185.6,42000,14,0,-0.0851110412055339,0.06515388
PRV51003,132,605670,4588.409090909091,57000,44,1,0.0099250628139235,0.5338194
PRV51004,149,52170,350.13422818791946,3300,38,0,-0.1165484735349586,0.14959018
PRV51005,1165,280910,241.1244635193133,4080,6,1,0.0456656816063845,0.14879407
PRV51007,72,33710,468.19444444444446,10000,10,0,-0.1568869383111329,0.18291812
PRV51008,43,35630,828.6046511627907,21000,10,0,-0.1349102736558827,0.11997198
PRV51011,58,16630,286.7241379310345,5000,28,0,-0.1462617743520146,0.15368229
PRV51012,48,16890,351.875,3300,14,0,-0.1756269719401114,0.14062907
PRV51013,46,14880,323.4782608695652,1800,9,0,-0.165750166544427,0.13182022
PRV51014,30,10480,349.3333333333333,3300,7,0,-0.1765228326187283,0.041503794
PRV51015,8,700,87.5,200,3,0,-0.1692155259725737,0.026337156
PRV51016,6,170,28.33333333333333,90,3,0,-0.1643457296297936,0.12988046
PRV51017,515,142720,277.126213592233,3300,113,0,0.061955272667042,0.13189505
PRV51021,257,348830,1357.3151750972763,57000,69,1,0.0190473714786963,0.2201255
PRV51023,36,65610,1822.5,13000,14,0,-0.1387559362720744,0.094226204
PRV51024,39,64050,1642.3076923076924,13000,13,0,-0.1405486460945998,0.13281761
PRV51025,87,118350,1360.344827586207,17000,35,0,-0.0907743116222729,0.24252552
PRV51026,76,19840,261.05263157894734,3300,29,0,-0.1514326655793282,0.13217911
PRV51027,53,29840,563.0188679245283,3300,10,0,-0.1721777054431323,0.18474844
PRV51029,93,30660,329.6774193548387,3300,38,0,-0.129833747749338,0.15523015
PRV51030,171,739760,4326.081871345029,57000,46,0,0.030127430595468,0.4090651
PRV51031,185,359720,1944.4324324324325,68000,60,0,0.0379955343965856,0.200573
PRV51032,23,5420,235.65217391304347,2900,10,0,-0.1739806373421739,0.02931865
PRV51035,30,32560,1085.3333333333333,29000,18,0,-0.116388972076683,0.04210107
PRV51036,278,74880,269.3525179856115,4400,5,0,-0.1028724091763604,0.12485218
PRV51037,454,342230,753.8105726872246,23000,3,1,-0.0067694418769473,0.24555045
PRV51038,141,265490,1882.90780141844,17000,44,0,-0.0386608776281855,0.3326771
PRV51040,86,74470,865.9302325581396,21000,15,0,-0.1228109049847674,0.17774677
PRV51041,34,7410,217.94117647058823,3200,9,0,-0.1751208123696199,0.054909606
PRV51042,142,48050,338.38028169014086,3300,52,0,-0.0970392402577647,0.13637435
PRV51043,23,4480,194.7826086956522,1100,6,0,-0.1752026876592958,0.025497014
PRV51044,59,21330,361.5254237288136,3300,1,0,-0.1728647404116646,0.18143988
PRV51045,31,8390,270.64516129032256,3300,16,0,-0.1714273580501782,0.046449732
PRV51046,38,109370,2878.157894736842,38000,6,0,-0.0860177097271643,0.13937053
PRV51047,11,2530,230.0,1300,10,0,-0.1698792250791107,0.018495878
PRV51048,38,27700,728.9473684210526,7000,15,0,-0.1603240116620782,0.10022306
PRV51049,71,21720,305.9154929577465,3300,35,0,-0.1416278758033536,0.15112253
PRV51052,46,30800,669.5652173913044,9000,17,1,-0.1567314103905728,0.14075932
PRV51053,1,8000,8000.0,8000,1,0,-0.0754042083918556,0.0
PRV51054,57,15130,265.43859649122805,1900,3,0,-0.1669059393165352,0.15402545
PRV51055,22,21640,983.6363636363636,16000,6,0,-0.1386241215220691,0.030798059
PRV51056,22,14700,668.1818181818181,5000,5,0,-0.1630551497987352,0.02521738
PRV51057,5,6830,1366.0,3300,1,0,-0.151525650217744,0.08055407
PRV51058,83,107030,1289.5180722891566,57000,31,0,-0.0535392233784062,0.18421301
PRV51059,96,421060,4386.041666666667,57000,30,1,-0.0257401150837708,0.57056266
PRV51060,42,43710,1040.7142857142858,14000,28,0,-0.1300314894496051,0.129105
PRV51061,145,54940,378.8965517241379,6700,6,0,-0.1431214098464739,0.17277195
PRV51062,397,153380,386.3476070528967,25000,6,0,-0.0456706939761733,0.14478597
PRV51063,149,51110,343.02013422818794,3300,3,0,-0.1492089837862835,0.1446611
PRV51064,303,360320,1189.1749174917493,37000,111,1,0.0714974245758579,0.16781858
PRV51065,28,76570,2734.6428571428573,11000,9,0,-0.1214573555954879,0.0660868
PRV51066,24,24790,1032.9166666666667,15000,7,0,-0.1402468271183882,0.032201648
PRV51067,58,334520,5767.586206896552,83000,21,1,0.0605032596198464,0.3416249
PRV51068,261,143260,548.8888888888889,19000,79,0,-0.010078311025171,0.15719986
PRV51070,99,125410,1266.767676767677,22000,46,0,-0.0736022205272261,0.21053067
PRV51071,24,8550,356.25,3200,11,0,-0.1753399755205785,0.029056165
PRV51072,212,119170,562.122641509434,14000,47,0,-0.0623074031920867,0.16045001
PRV51074,39,41170,1055.6410256410256,15000,14,0,-0.1457712687212575,0.09256574
PRV51075,17,8550,502.9411764705882,3000,4,0,-0.1755937373054502,0.02106331
PRV51076,29,10230,352.7586206896552,3300,8,0,-0.1772279887234252,0.037652332
PRV51077,33,204350,6192.424242424242,56000,11,1,-0.0425380540483944,0.23702028
PRV51078,23,78270,3403.043478260869,16000,13,0,-0.1197230225107935,0.048616316
