Provider,TotalClaims,TotalClaimAmount,AvgClaimAmount,MaxClaimAmount,UniquePhysicians,PotentialFraud,anomaly_score,behavior_risk,fraud_probability
PRV51001,25,104640,4185.6,42000,14,0,-0.0851110412055339,0.06515388,0.066754885
PRV51003,132,605670,4588.409090909091,57000,44,1,0.0099250628139235,0.5338194,0.8866272
PRV51004,149,52170,350.13422818791946,3300,38,0,-0.1165484735349586,0.14959018,0.0076124878
PRV51005,1165,280910,241.1244635193133,4080,6,1,0.0456656816063845,0.14879407,0.14128606
PRV51007,72,33710,468.19444444444446,10000,10,0,-0.1568869383111329,0.18291812,0.019171039
PRV51008,43,35630,828.6046511627907,21000,10,0,-0.1349102736558827,0.11997198,0.018447392
PRV51011,58,16630,286.7241379310345,5000,28,0,-0.1462617743520146,0.15368229,0.0015867068
PRV51012,48,16890,351.875,3300,14,0,-0.1756269719401114,0.14062907,0.0011592739
PRV51013,46,14880,323.4782608695652,1800,9,0,-0.165750166544427,0.13182022,0.0024988463
PRV51014,30,10480,349.3333333333333,3300,7,0,-0.1765228326187283,0.041503794,0.0010911308
PRV51015,8,700,87.5,200,3,0,-0.1692155259725737,0.026337156,0.0013196573
PRV51016,6,170,28.33333333333333,90,3,0,-0.1643457296297936,0.12988046,0.0016604457
PRV51017,515,142720,277.126213592233,3300,113,0,0.061955272667042,0.13189505,0.03108243
PRV51021,257,348830,1357.3151750972763,57000,69,1,0.0190473714786963,0.2201255,0.81582355
PRV51023,36,65610,1822.5,13000,14,0,-0.1387559362720744,0.094226204,0.03959208
PRV51024,39,64050,1642.3076923076924,13000,13,0,-0.1405486460945998,0.13281761,0.024262378
PRV51025,87,118350,1360.344827586207,17000,35,0,-0.0907743116222729,0.24252552,0.060957383
PRV51026,76,19840,261.05263157894734,3300,29,0,-0.1514326655793282,0.13217911,0.0016141989
PRV51027,53,29840,563.0188679245283,3300,10,0,-0.1721777054431323,0.18474844,0.05795106
PRV51029,93,30660,329.6774193548387,3300,38,0,-0.129833747749338,0.15523015,0.00107582
PRV51030,171,739760,4326.081871345029,57000,46,0,0.030127430595468,0.4090651,0.5591135
PRV51031,185,359720,1944.4324324324325,68000,60,0,0.0379955343965856,0.200573,0.64375997
PRV51032,23,5420,235.65217391304347,2900,10,0,-0.1739806373421739,0.02931865,0.0005613174
